2016-05-17 21:45:07,775 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\main\resources
2016-05-17 21:45:07,777 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:45:07,778 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\test\resources
2016-05-17 21:45:07,779 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of GlassProducer
2016-05-17 21:45:07,779 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for GlassProducer
2016-05-17 21:45:07,784 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:45:24,904 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: common:common:1 @ C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\common\pom.xml.
2016-05-17 21:45:25,880 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: GlassProducer:GlassProducer:0.0.1-SNAPSHOT @ C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\pom.xml.
2016-05-17 21:45:28,567 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:45:28,569 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\main\resources
2016-05-17 21:45:28,570 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:45:28,571 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\test\resources
2016-05-17 21:46:24,192 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:46:24,193 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\main\resources
2016-05-17 21:46:24,194 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-17 21:46:24,195 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coronae\Documents\WorkStationJ\M1\Tp1Repa\GlassProducer\src\test\resources
